target,class_name,num_examples,recall,num_correct
64,Broad-billed Hummingbird (Adult Male),49,0.9795918367346939,48
325,Yellow-headed Blackbird (Adult Male),49,0.9795918367346939,48
332,Purple Finch (Adult Male),52,0.9807692307692307,51
506,Snow Bunting (Nonbreeding),52,0.9807692307692307,51
318,Black-headed Grosbeak (Adult Male),58,0.9827586206896551,57
297,American Robin (Adult),59,0.9830508474576272,58
300,Common Yellowthroat (Adult Male),60,0.9833333333333333,59
316,Northern Cardinal (Adult Male),60,1.0,60
317,Rose-breasted Grosbeak (Adult Male),60,1.0,60
46,White Ibis (Adult),58,1.0,58
30,California Quail (Male),56,1.0,56
148,American Avocet,54,1.0,54
341,Vermilion Flycatcher (Adult male),53,1.0,53
58,Common Gallinule (Adult),49,1.0,49
157,Black Turnstone,47,1.0,47
2,Ruddy Duck (Breeding male),38,1.0,38
407,Blue-winged Warbler,38,1.0,38
119,Brown Pelican,34,1.0,34
175,Greater Roadrunner,34,1.0,34
382,American Dipper,31,1.0,31
128,Roseate Spoonbill,29,1.0,29
213,Black-bellied Whistling-Duck,20,1.0,20
