target,class_name,num_examples,recall,num_correct
404,Ovenbird,60,0.9333333333333333,56
430,Yellow-breasted Chat,60,0.9333333333333333,56
439,Clay-colored Sparrow,60,0.9333333333333333,56
539,Purple Finch (Female/immature),45,0.9333333333333333,42
232,White-winged Scoter (Female/juvenile),30,0.9333333333333333,28
56,Peregrine Falcon (Adult),46,0.9347826086956522,43
520,Chipping Sparrow (Immature/nonbreeding adult),46,0.9347826086956522,43
32,Ring-necked Pheasant (Male),47,0.9361702127659575,44
157,Black Turnstone,47,0.9361702127659575,44
459,Bronzed Cowbird,32,0.9375,30
94,Greater White-fronted Goose,33,0.9393939393939394,31
237,Hooded Merganser (Female/immature male),33,0.9393939393939394,31
66,Black-chinned Hummingbird (Adult Male),50,0.94,47
170,Inca Dove,50,0.94,47
241,Gambel's Quail (Female/juvenile),17,0.9411764705882353,16
488,Blue-headed Vireo,52,0.9423076923076923,49
36,Horned Grebe (Breeding),35,0.9428571428571428,33
62,Dunlin (Breeding),35,0.9428571428571428,33
342,Yellow-rumped Warbler (Winter/juvenile Myrtle),53,0.9433962264150944,50
250,Double-crested Cormorant (Adult),54,0.9444444444444444,51
378,Winter Wren,54,0.9444444444444444,51
68,Costa's Hummingbird (Adult Male),37,0.9459459459459459,35
385,Wrentit,37,0.9459459459459459,35
7,Gadwall (Breeding male),56,0.9464285714285714,53
149,Solitary Sandpiper,56,0.9464285714285714,53
397,Brown Thrasher,57,0.9473684210526315,54
547,House Sparrow (Female/Juvenile),57,0.9473684210526315,54
333,Cassin's Finch (Adult Male),38,0.9473684210526315,36
23,Black Scoter (Male),19,0.9473684210526315,18
391,Swainson's Thrush,58,0.9482758620689655,55
411,Orange-crowned Warbler,58,0.9482758620689655,55
79,Heermann's Gull (Adult),39,0.9487179487179487,37
78,Laughing Gull (Breeding),59,0.9491525423728814,56
330,Baltimore Oriole (Adult male),59,0.9491525423728814,56
387,Western Bluebird,59,0.9491525423728814,56
508,American Redstart (Female/juvenile),59,0.9491525423728814,56
35,Common Loon (Breeding),60,0.95,57
91,Forster's Tern,60,0.95,57
98,Mute Swan,60,0.95,57
151,Willet,60,0.95,57
183,Barred Owl,60,0.95,57
201,Pileated Woodpecker,60,0.95,57
245,Common Loon (Nonbreeding/juvenile),60,0.95,57
258,"Northern Harrier (Female, immature)",60,0.95,57
260,Cooper's Hawk (Immature),60,0.95,57
290,Dark-eyed Junco (Slate-colored),60,0.95,57
366,Bushtit,60,0.95,57
368,White-breasted Nuthatch,60,0.95,57
380,Blue-gray Gnatcatcher,60,0.95,57
386,Eastern Bluebird,60,0.95,57
417,Northern Parula,60,0.95,57
454,Western Meadowlark,60,0.95,57
473,Eastern Phoebe,60,0.95,57
479,Eastern Kingbird,60,0.95,57
482,Northern Shrike,60,0.95,57
512,Blackpoll Warbler (Female/juvenile),60,0.95,57
517,White-crowned Sparrow (Immature),60,0.95,57
108,Ruffed Grouse,40,0.95,38
464,Common Redpoll,40,0.95,38
196,Red-breasted Sapsucker,42,0.9523809523809523,40
311,Golden-crowned Sparrow (Adult),42,0.9523809523809523,40
135,Harris's Hawk,43,0.9534883720930233,41
554,Dark-eyed Junco (Red-backed/Gray-headed),43,0.9534883720930233,41
509,Magnolia Warbler (Female/immature male),45,0.9555555555555556,43
435,Canyon Towhee,46,0.9565217391304348,44
173,Yellow-billed Cuckoo,47,0.9574468085106383,45
537,Baltimore Oriole (Female/Immature male),48,0.9583333333333334,46
227,Ring-necked Duck (Female/Eclipse male),24,0.9583333333333334,23
145,American Oystercatcher,49,0.9591836734693877,47
388,Mountain Bluebird,49,0.9591836734693877,47
197,Ladder-backed Woodpecker,50,0.96,48
142,Sandhill Crane,25,0.96,24
153,Whimbrel,51,0.9607843137254902,49
176,Barn Owl,52,0.9615384615384616,50
63,Wilson's Phalarope (Breeding),53,0.9622641509433962,51
154,Long-billed Curlew,53,0.9622641509433962,51
476,Great Crested Flycatcher,53,0.9622641509433962,51
254,Black-crowned Night-Heron (Immature),54,0.9629629629629629,52
