model,top1,top5,macro_f1
"ResNet-50
visual",79.40973490845613,94.824016563147,76.88563727740257
"ConvNeXt-B
5-view",90.99987821215443,98.34368530020704,89.24831848138075
"CLIP ViT-B/32
generic text",40.31583647951935,74.07948686721065,35.79699054452514
"CLIP ViT-B/32
short variant text",40.5391141964032,74.66406852596111,36.50695863180842
"SigLIP2 base
fixed generic",3.06093451873503,7.814720090934925,0.9512341269575512
"SigLIP base
short variant text",52.10084033613446,84.70344659602972,48.62845115818437
"CLIP ViT-B/32
cached adapter",60.142897738805665,87.28128932732513,56.5827045520888
